mode,evaluations,best_fitness
none,0.0,9.993917772080346e-06
none,1010.10101010101,9.767638091297006e-06
none,2020.20202020202,9.602682275328084e-06
none,3030.30303030303,9.363338354287684e-06
none,4040.40404040404,8.981682237773768e-06
none,5050.50505050505,8.967924938068923e-06
none,6060.60606060606,8.758908947315569e-06
none,7070.707070707071,8.710799462054804e-06
none,8080.80808080808,8.402418071154988e-06
none,9090.90909090909,8.440938991672793e-06
none,10101.0101010101,8.134340437595161e-06
none,11111.111111111111,7.945554121241467e-06
none,12121.21212121212,7.914799080487732e-06
none,13131.31313131313,7.5844634096852815e-06
none,14141.414141414141,7.677745695567635e-06
none,15151.51515151515,7.32422453190402e-06
none,16161.61616161616,7.355484646631319e-06
none,17171.71717171717,7.038659435899713e-06
none,18181.81818181818,6.849965985640752e-06
none,19191.91919191919,6.7340684805419686e-06
none,20202.0202020202,6.581384920539631e-06
none,21212.121212121212,6.562316763148678e-06
none,22222.222222222223,6.592156427415526e-06
none,23232.32323232323,6.158865914010729e-06
none,24242.42424242424,6.024460428414066e-06
none,25252.52525252525,6.162062698938211e-06
none,26262.62626262626,5.873089271574391e-06
none,27272.727272727272,5.887056858006958e-06
none,28282.828282828283,5.641695257201425e-06
none,29292.92929292929,5.498712167034434e-06
none,30303.0303030303,5.4439585915449295e-06
none,31313.13131313131,5.329505582764095e-06
none,32323.23232323232,5.284622046309169e-06
none,33333.33333333333,5.109061303028693e-06
none,34343.43434343434,5.074278315947314e-06
none,35353.53535353535,4.882204840133943e-06
none,36363.63636363636,4.787553414864206e-06
none,37373.73737373737,4.929391985742383e-06
none,38383.83838383838,4.632479254760502e-06
none,39393.93939393939,4.586670851122321e-06
none,40404.0404040404,4.429955173764686e-06
none,41414.14141414141,4.486877025085349e-06
none,42424.242424242424,4.2802418181459234e-06
none,43434.343434343435,4.0831447277792306e-06
none,44444.444444444445,4.1735327610263864e-06
none,45454.54545454545,4.019929560393432e-06
none,46464.64646464646,4.1044216770865284e-06
none,47474.74747474747,3.897830899656404e-06
none,48484.84848484848,3.6689966062356544e-06
none,49494.94949494949,3.6320861653104355e-06
none,50505.0505050505,3.4373147746861726e-06
none,51515.15151515151,3.47831279433456e-06
none,52525.25252525252,3.4913810619263033e-06
none,53535.35353535353,3.540506618608896e-06
none,54545.454545454544,3.2890116708882923e-06
none,55555.555555555555,3.404921883004469e-06
none,56565.656565656565,3.3303506192416865e-06
none,57575.757575757576,3.0717197631102815e-06
none,58585.85858585858,3.203929087988667e-06
none,59595.95959595959,2.9887144499809574e-06
none,60606.0606060606,3.1291448101539092e-06
none,61616.16161616161,2.8253558433754254e-06
none,62626.26262626262,2.951016236616289e-06
none,63636.36363636363,2.6140509197475003e-06
none,64646.46464646464,2.6563862696825664e-06
none,65656.56565656565,2.7597309263744247e-06
none,66666.66666666666,2.6657560682358676e-06
none,67676.76767676767,2.8384748990551843e-06
none,68686.86868686868,2.3368408360710895e-06
none,69696.9696969697,2.5763540263188066e-06
none,70707.0707070707,2.417911492384419e-06
none,71717.17171717172,2.31880207361587e-06
none,72727.27272727272,2.2395752680491827e-06
none,73737.37373737374,2.412381292794498e-06
none,74747.47474747474,2.038747387647969e-06
none,75757.57575757576,2.0101181191424733e-06
none,76767.67676767676,2.1640520213387137e-06
none,77777.77777777777,2.1186967281679867e-06
none,78787.87878787878,2.0616574839843727e-06
none,79797.97979797979,2.010945285766523e-06
none,80808.0808080808,2.0011584735587767e-06
none,81818.18181818181,2.0217147842105854e-06
none,82828.28282828283,1.8756607064468748e-06
none,83838.38383838383,1.8670051857771414e-06
none,84848.48484848485,2.01755207460307e-06
none,85858.58585858585,1.7682341743900294e-06
none,86868.68686868687,1.7239103837185268e-06
none,87878.78787878787,1.591518947135034e-06
none,88888.88888888889,1.975895799478342e-06
none,89898.9898989899,1.6936714800948222e-06
none,90909.0909090909,1.5757337432087112e-06
none,91919.19191919192,1.7652492312948787e-06
none,92929.29292929292,1.6193424022324531e-06
none,93939.39393939394,1.6050480358798118e-06
none,94949.49494949494,1.5292124211542677e-06
none,95959.59595959596,1.2940298358005894e-06
none,96969.69696969696,1.4902656618918312e-06
none,97979.79797979798,1.480682438375197e-06
none,98989.89898989898,1.291890657851648e-06
none,100000.0,1.1366936900471368e-06
periodic,0.0,9.970131268043147e-06
periodic,1010.10101010101,9.856276355860114e-06
periodic,2020.20202020202,9.706653330511588e-06
periodic,3030.30303030303,9.192957219735977e-06
periodic,4040.40404040404,8.80031519996111e-06
periodic,5050.50505050505,8.815906484086849e-06
periodic,6060.60606060606,8.594522781901471e-06
periodic,7070.707070707071,8.34588917592071e-06
periodic,8080.80808080808,8.07302317827304e-06
periodic,9090.90909090909,7.759300990378553e-06
periodic,10101.0101010101,7.691724030350314e-06
periodic,11111.111111111111,7.549554575446686e-06
periodic,12121.21212121212,7.290483971708441e-06
periodic,13131.31313131313,7.196170921779762e-06
periodic,14141.414141414141,6.9133617421250315e-06
periodic,15151.51515151515,6.963983604360033e-06
periodic,16161.61616161616,6.733418638433664e-06
periodic,17171.71717171717,6.572655778763353e-06
periodic,18181.81818181818,6.218312666249886e-06
periodic,19191.91919191919,6.136986022796136e-06
periodic,20202.0202020202,6.1191742414736225e-06
periodic,21212.121212121212,5.763267041661087e-06
periodic,22222.222222222223,5.653489090545657e-06
periodic,23232.32323232323,5.597197418977252e-06
periodic,24242.42424242424,5.433462349189915e-06
periodic,25252.52525252525,5.483686897201287e-06
periodic,26262.62626262626,5.197212086112386e-06
periodic,27272.727272727272,4.919225838660982e-06
periodic,28282.828282828283,5.000859903926867e-06
periodic,29292.92929292929,4.82676520117389e-06
periodic,30303.0303030303,4.787345644074687e-06
