lambda2,basin_count,performance
0.3017514531947797,4,9.08933240703957e-05
0.3662913324080844,6,0.0002676442925983196
0.18398595109943228,7,0.0004061581966409886
0.20270583300556866,6,0.00036316468268535396
0.1334698489142921,9,0.0008869968750389322
0.32124142904433783,2,0.0001789439573274961
0.40301589603355337,3,0.0007311413041891724
0.48148134675695564,8,0.00033259559932136774
0.4292303056921277,3,0.0008548561570678841
0.42358226528461307,5,0.0002902868152750958
0.23655014073759803,5,0.00036537031952271987
0.4736398830895412,9,0.0009551955272988166
0.22813969152319744,7,0.000441746178412732
0.4179668355245273,9,0.0006605131882328563
0.27103360867914705,6,3.283960212332427e-05
0.10426160945855885,5,7.850698556619534e-05
0.10098770412918366,1,0.0003346538209963679
0.43248369277786347,6,0.0003372366309710377
0.41170139365305947,6,0.0004310545824767248
0.13115671152657837,3,0.0009089646179963809
0.2594747119838626,8,0.0008422441935440111
0.24153962000839102,4,0.0006877245770999536
0.2614662099641726,9,0.000942275415346567
0.2334280396882209,4,0.0004204409378566109
0.17291052890227004,4,0.0005403420553437774
0.306940112510496,3,0.0006886880443339625
0.10962262007859441,4,0.000932471304444253
0.3481966356020812,9,0.0008042459887095479
0.39277034905493335,9,0.0005367004331694163
0.12189341859076737,4,0.0006592554006034366
0.20440668537875523,4,0.0004015210554144602
0.21792876339238598,7,0.0006514743361826192
0.44803039022469027,4,2.988339746075753e-05
0.18301665198263672,6,0.0004592812603286355
0.28675074279489393,5,0.0009438740533567597
0.4187331514159832,2,0.0005706327143688703
0.3036544032044404,3,0.0009994177103683833
0.41171068617461937,1,0.0001779216203637876
0.3255376166701959,1,0.0005953043613017447
0.13371733327133298,2,0.0008351129234933033
0.17078573313857084,4,0.00014625009557013672
0.10653596217768993,5,0.0003068320196456011
0.22313000549086218,3,0.0006257481490067207
0.31504752780407197,2,0.000690974213306224
0.29743725881235933,6,0.000942083899181021
0.47731871475560983,4,0.0009088196687183046
0.18752019289455527,6,0.0004562206862575978
0.45185428023263696,3,0.0009859598905959262
0.21746164959815167,1,0.0004533308271806682
0.1785188440891161,5,0.00024898889977074484
