evaluations,diversity,improvement,sync_event
0.0,0.5284687318977572,,1
1010.10101010101,0.459876612795792,,0
2020.20202020202,0.474158023793077,,0
3030.30303030303,0.536357528816316,,0
4040.40404040404,0.5029371691300447,,0
5050.50505050505,0.4635570838723518,,0
6060.60606060606,0.39802359985561514,,0
7070.707070707071,0.46082045805508365,,0
8080.80808080808,0.5462602778821726,,0
9090.90909090909,0.40834682829635355,,0
10101.0101010101,0.35500089848467486,,1
11111.111111111111,0.4366463856315069,,0
12121.21212121212,0.41921306635689415,,0
13131.31313131313,0.36564898314336847,,0
14141.414141414141,0.3241545653231722,,0
15151.51515151515,0.368134249574991,,0
16161.61616161616,0.40401282137893674,,0
17171.71717171717,0.4690443985841719,,0
18181.81818181818,0.4224676289225702,,0
19191.91919191919,0.42886637580035036,,0
20202.0202020202,0.33609734625478876,,1
21212.121212121212,0.37814685817187005,,0
22222.222222222223,0.43185871271308085,,0
23232.32323232323,0.4687489777953681,,0
24242.42424242424,0.4391711678897542,,0
25252.52525252525,0.3839560887485309,,0
26262.62626262626,0.4491709081954288,,0
27272.727272727272,0.27114292513231875,,0
28282.828282828283,0.4116063799360554,,0
29292.92929292929,0.37883124872096213,,0
30303.0303030303,0.29172814080627346,,1
31313.13131313131,0.2962774530827107,,0
32323.23232323232,0.2934141530211636,,0
33333.33333333333,0.24394044892109013,,0
34343.43434343434,0.2320678990800833,,0
35353.53535353535,0.3998340072139384,,0
36363.63636363636,0.21735174733247692,,0
37373.73737373737,0.3880510610756135,,0
38383.83838383838,0.2376086887014487,,0
39393.93939393939,0.36453913021824624,,0
40404.0404040404,0.3300613341253116,,1
41414.14141414141,0.3065981248068941,,0
42424.242424242424,0.31251720434456315,,0
43434.343434343435,0.2641067995798467,,0
44444.444444444445,0.2636344263784518,,0
45454.54545454545,0.31988815314943797,,0
46464.64646464646,0.2788708128726919,,0
47474.74747474747,0.23369128525737168,,0
48484.84848484848,0.2575763127069444,,0
49494.94949494949,0.30669132028654766,,0
50505.0505050505,0.21891779008778567,,1
51515.15151515151,0.3344885640521187,,0
52525.25252525252,0.2831126069343544,,0
53535.35353535353,0.29239261856635773,,0
54545.454545454544,0.21175708410363578,,0
55555.555555555555,0.2500080092221416,,0
56565.656565656565,0.22503414888683626,,0
57575.757575757576,0.17866638904694723,,0
58585.85858585858,0.24301553667803352,,0
59595.95959595959,0.18951950485461888,,0
60606.0606060606,0.18433306577188396,,1
61616.16161616161,0.24442624001214153,,0
62626.26262626262,0.21147405729997115,,0
63636.36363636363,0.2189453439835394,,0
64646.46464646464,0.25923347666825175,,0
65656.56565656565,0.19799295769178735,,0
66666.66666666666,0.23801275445099163,,0
67676.76767676767,0.22536691867692416,,0
68686.86868686868,0.2009319105179895,,0
69696.9696969697,0.25919684670716747,,0
70707.0707070707,0.17639858252257684,,1
71717.17171717172,0.2956703360716368,,0
72727.27272727272,0.18293823805397919,,0
73737.37373737374,0.14380604103854083,,0
74747.47474747474,0.23892402597623566,,0
75757.57575757576,0.18553840719657871,,0
76767.67676767676,0.1416480180707454,,0
77777.77777777777,0.17886638670115984,,0
78787.87878787878,0.14521412277185086,,0
